EVI,NDVI,fecha,year,month,yyyymm
0.4292213600549979,0.7021872011211323,2009-07-01,2009,7,2009-07
0.4208897357677156,0.6707933831268789,2009-08-01,2009,8,2009-08
0.4197532780815625,0.6694159811563143,2009-09-01,2009,9,2009-09
0.4203443910996798,0.6819405002464362,2009-10-01,2009,10,2009-10
0.4207059844538016,0.6958585427660033,2009-11-01,2009,11,2009-11
0.3888082422136336,0.6871375429553035,2009-12-01,2009,12,2009-12
0.3478808751410558,0.6555522247782473,2010-01-01,2010,1,2010-01
0.3443187017280085,0.585016728828411,2010-02-01,2010,2,2010-02
0.3572714682831249,0.6034952707289892,2010-03-01,2010,3,2010-03
0.415650025103084,0.6638748194642653,2010-04-01,2010,4,2010-04
0.414907983807746,0.7073820026127035,2010-05-01,2010,5,2010-05
0.4402022477050591,0.7449553399130139,2010-06-01,2010,6,2010-06
0.463521500614114,0.7285363324635261,2010-07-01,2010,7,2010-07
0.4423260580525777,0.7179485414272375,2010-08-01,2010,8,2010-08
0.4790060684615787,0.6894437920280099,2010-09-01,2010,9,2010-09
0.4494098313429118,0.7144311487657041,2010-10-01,2010,10,2010-10
0.4301730177661086,0.7105425488026851,2010-11-01,2010,11,2010-11
0.4075349617899592,0.7060318685124017,2010-12-01,2010,12,2010-12
0.4096610570933851,0.6974152224917833,2011-01-01,2011,1,2011-01
0.385027492127463,0.6636805426360463,2011-02-01,2011,2,2011-02
0.3986577341330699,0.6623554018177926,2011-03-01,2011,3,2011-03
0.4514762962617907,0.699147920595872,2011-04-01,2011,4,2011-04
0.4296040089303817,0.7319466442263431,2011-05-01,2011,5,2011-05
0.4373061715285249,0.7196012942487987,2011-06-01,2011,6,2011-06
0.4456573191075009,0.7085820053201184,2011-07-01,2011,7,2011-07
0.4192692638394817,0.7303305823084911,2011-08-01,2011,8,2011-08
0.4532959923256112,0.6770498104350714,2011-09-01,2011,9,2011-09
0.4525312865522266,0.717330009355502,2011-10-01,2011,10,2011-10
0.4439064950642891,0.7247388184539464,2011-11-01,2011,11,2011-11
0.4003537949205445,0.7240900074202207,2011-12-01,2011,12,2011-12
0.3981181130465966,0.699554042211603,2012-01-01,2012,1,2012-01
0.3903453256784772,0.6716283878656568,2012-02-01,2012,2,2012-02
0.3765916888750649,0.6436349246050339,2012-03-01,2012,3,2012-03
0.4511251000563189,0.6977951673223283,2012-04-01,2012,4,2012-04
0.4478696155596187,0.6972306435446287,2012-05-01,2012,5,2012-05
0.4157387070155899,0.7101026160017031,2012-06-01,2012,6,2012-06
0.4416016528823901,0.7045823233782359,2012-07-01,2012,7,2012-07
0.4232523139612296,0.7005508896784414,2012-08-01,2012,8,2012-08
0.3970873670254292,0.6910452167016979,2012-09-01,2012,9,2012-09
0.4211317293825586,0.7023553802720546,2012-10-01,2012,10,2012-10
0.4175711101374196,0.7033506329918673,2012-11-01,2012,11,2012-11
0.4043204420832066,0.7042195253605346,2012-12-01,2012,12,2012-12
0.3882844582892348,0.657743881387922,2013-01-01,2013,1,2013-01
0.3316704552959018,0.6371136565791268,2013-02-01,2013,2,2013-02
0.3587354560575049,0.6325237274059414,2013-03-01,2013,3,2013-03
0.4463990696074104,0.6778124481213932,2013-04-01,2013,4,2013-04
0.4102851345209334,0.6883040842447539,2013-05-01,2013,5,2013-05
0.4319800997719345,0.7026301540444189,2013-06-01,2013,6,2013-06
0.4199803506228733,0.6817500922000538,2013-07-01,2013,7,2013-07
0.4224112279995522,0.7102890713225662,2013-08-01,2013,8,2013-08
0.4503001739002462,0.6853056266023936,2013-09-01,2013,9,2013-09
0.4262366616118705,0.7009275747395878,2013-10-01,2013,10,2013-10
0.4209139323109729,0.6986461035456654,2013-11-01,2013,11,2013-11
0.4132165491920925,0.7169524220031042,2013-12-01,2013,12,2013-12
0.3982431470793978,0.6899066746564565,2014-01-01,2014,1,2014-01
0.372625250588838,0.627297815801317,2014-02-01,2014,2,2014-02
0.3674576472917177,0.6511237320703915,2014-03-01,2014,3,2014-03
0.3980842092770428,0.6476616024818227,2014-04-01,2014,4,2014-04
0.392189097657468,0.7045536509999429,2014-05-01,2014,5,2014-05
0.4170851416964076,0.6770469439818158,2014-06-01,2014,6,2014-06
0.4087105816305423,0.6740371620602076,2014-07-01,2014,7,2014-07
0.4106158461104609,0.6643379128474626,2014-08-01,2014,8,2014-08
0.4055779271145602,0.6790299552237749,2014-09-01,2014,9,2014-09
0.4313804601914937,0.6822774221295747,2014-10-01,2014,10,2014-10
0.4188016052534408,0.7056715126031333,2014-11-01,2014,11,2014-11
0.4089598470565094,0.7173932911008518,2014-12-01,2014,12,2014-12
0.3869889313933989,0.6851277882477435,2015-01-01,2015,1,2015-01
0.3932393393501284,0.6432349441356454,2015-02-01,2015,2,2015-02
0.3693876977465929,0.6413270151749542,2015-03-01,2015,3,2015-03
0.3996727873409202,0.685176465924261,2015-04-01,2015,4,2015-04
0.4052123536924397,0.6879055849596905,2015-05-01,2015,5,2015-05
0.4266724734761465,0.6924033420235984,2015-06-01,2015,6,2015-06
0.427072275815325,0.6838827789611677,2015-07-01,2015,7,2015-07
0.4363548207946209,0.6632066619377246,2015-08-01,2015,8,2015-08
0.4102305328793845,0.6674852976502177,2015-09-01,2015,9,2015-09
0.4401955432935185,0.6709815240797042,2015-10-01,2015,10,2015-10
0.3933337406725921,0.7006468065700875,2015-11-01,2015,11,2015-11
0.3955385207055374,0.7010765231612646,2015-12-01,2015,12,2015-12
0.3772041593260062,0.6645048483792335,2016-01-01,2016,1,2016-01
0.3622321078519142,0.60167169784773,2016-02-01,2016,2,2016-02
0.3222492134665527,0.6163495562092876,2016-03-01,2016,3,2016-03
0.3841815356336669,0.6727768113682634,2016-04-01,2016,4,2016-04
0.417607336760687,0.7154222646376993,2016-05-01,2016,5,2016-05
0.4461643985646101,0.7119128781458924,2016-06-01,2016,6,2016-06
0.435366049388721,0.7187875640131043,2016-07-01,2016,7,2016-07
0.4588518737347964,0.6982749108076327,2016-08-01,2016,8,2016-08
0.4434444107548548,0.6867367097819636,2016-09-01,2016,9,2016-09
0.4411350290798139,0.6949986449012284,2016-10-01,2016,10,2016-10
0.4171446417583249,0.7252870281386659,2016-11-01,2016,11,2016-11
0.4287114885608278,0.7218916662395346,2016-12-01,2016,12,2016-12
0.4278589525536866,0.7203214257244951,2017-01-01,2017,1,2017-01
0.4028682360187897,0.6865271501913023,2017-02-01,2017,2,2017-02
0.3859850841257644,0.6902439562355792,2017-03-01,2017,3,2017-03
0.4413587475218621,0.6860947097895178,2017-04-01,2017,4,2017-04
0.4228728778173591,0.703315138145625,2017-05-01,2017,5,2017-05
0.4344937852800265,0.7164815977060542,2017-06-01,2017,6,2017-06
0.419422640431871,0.7222792359852859,2017-07-01,2017,7,2017-07
0.4486366667776151,0.7051049504974296,2017-08-01,2017,8,2017-08
0.4474170313765668,0.69396937228336,2017-09-01,2017,9,2017-09
0.4798620621444645,0.6959810951232828,2017-10-01,2017,10,2017-10
0.4321044152760772,0.7063149841964469,2017-11-01,2017,11,2017-11
0.3890443843304422,0.7207515554497976,2017-12-01,2017,12,2017-12
0.4002649646138237,0.6916474941038956,2018-01-01,2018,1,2018-01
0.3744381481379981,0.6576537301411877,2018-02-01,2018,2,2018-02
0.3716387990866829,0.6410100444395879,2018-03-01,2018,3,2018-03
0.4616955380925203,0.704509508371359,2018-04-01,2018,4,2018-04
0.4428323562125668,0.7319885810307344,2018-05-01,2018,5,2018-05
0.4491191356928588,0.7182737508652305,2018-06-01,2018,6,2018-06
0.4426446580316941,0.7114696469827904,2018-07-01,2018,7,2018-07
0.4495486072921016,0.6873326950576523,2018-08-01,2018,8,2018-08
0.4437424097533837,0.7011864945023196,2018-09-01,2018,9,2018-09
0.3884435979133165,0.7134707957497278,2018-10-01,2018,10,2018-10
0.4224443935395838,0.7122729190267423,2018-11-01,2018,11,2018-11
0.4136991313035603,0.7150268509731579,2018-12-01,2018,12,2018-12
0.397313018601465,0.6600227186452874,2019-01-01,2019,1,2019-01
0.3650571685766686,0.6403573353127412,2019-02-01,2019,2,2019-02
0.3676634297832333,0.6338666887902658,2019-03-01,2019,3,2019-03
0.4286844699759871,0.6699277903659545,2019-04-01,2019,4,2019-04
0.4558871700906367,0.7424583496703313,2019-05-01,2019,5,2019-05
0.4463314014060299,0.7195578788033417,2019-06-01,2019,6,2019-06
0.428288717410421,0.7132741119443118,2019-07-01,2019,7,2019-07
0.4542978761827866,0.6881816757959789,2019-08-01,2019,8,2019-08
0.4552660944619029,0.6905273665221141,2019-09-01,2019,9,2019-09
0.4359971710087261,0.7022601754945161,2019-10-01,2019,10,2019-10
0.4358362066948449,0.7152239864370554,2019-11-01,2019,11,2019-11
0.4247810139972023,0.7134578221489276,2019-12-01,2019,12,2019-12
0.4037504118041603,0.7015630215922283,2020-01-01,2020,1,2020-01
0.3657609141979668,0.651620344396377,2020-02-01,2020,2,2020-02
0.3527596874968677,0.6405354988771188,2020-03-01,2020,3,2020-03
0.3792464736047248,0.6766170730121498,2020-04-01,2020,4,2020-04
0.4172600636545687,0.6799732249793633,2020-05-01,2020,5,2020-05
0.3992700838923579,0.7071197160879226,2020-06-01,2020,6,2020-06
0.4410925064918412,0.725326732647532,2020-07-01,2020,7,2020-07
0.432104250719365,0.7270842609392015,2020-08-01,2020,8,2020-08
0.4405720676065106,0.7187151846428985,2020-09-01,2020,9,2020-09
0.4524138685808543,0.7080608754015385,2020-10-01,2020,10,2020-10
0.4334181715799927,0.7044335005677986,2020-11-01,2020,11,2020-11
0.4251849310126981,0.7137225733948277,2020-12-01,2020,12,2020-12
0.3971746939640024,0.7140004837391992,2021-01-01,2021,1,2021-01
0.3845885243155345,0.6579141982724103,2021-02-01,2021,2,2021-02
0.4227184813885654,0.628408211279429,2021-03-01,2021,3,2021-03
0.4320797751300551,0.6814342914583651,2021-04-01,2021,4,2021-04
0.4410071478941895,0.7044472674689013,2021-05-01,2021,5,2021-05
0.4563151767998095,0.7347582276021478,2021-06-01,2021,6,2021-06
0.4561971397812199,0.7161657930309349,2021-07-01,2021,7,2021-07
0.4785586783763287,0.7083063274631366,2021-08-01,2021,8,2021-08
0.4593455511745303,0.7026921578797258,2021-09-01,2021,9,2021-09
0.4389187020904127,0.7223132577983492,2021-10-01,2021,10,2021-10
0.4190977467891678,0.7219715062925628,2021-11-01,2021,11,2021-11
0.4145308440365583,0.6992743396098335,2021-12-01,2021,12,2021-12
0.3881896605831589,0.6843713283513004,2022-01-01,2022,1,2022-01
0.3702078580899993,0.6503809455686211,2022-02-01,2022,2,2022-02
0.4026015914684506,0.66587091908006,2022-03-01,2022,3,2022-03
0.4023936295471795,0.6819352391382284,2022-04-01,2022,4,2022-04
0.4146888651410217,0.7126248082580826,2022-05-01,2022,5,2022-05
0.4470898962362774,0.7175210547898374,2022-06-01,2022,6,2022-06
0.4573727116581473,0.7056303401836502,2022-07-01,2022,7,2022-07
0.3921466320011423,0.7322903515946371,2022-08-01,2022,8,2022-08
0.4809895884633492,0.6983964229618826,2022-09-01,2022,9,2022-09
0.4369844471610638,0.7165869332504199,2022-10-01,2022,10,2022-10
0.4327407807112574,0.7328723941462923,2022-11-01,2022,11,2022-11
0.3963243776292435,0.7270447256612145,2022-12-01,2022,12,2022-12
0.4059942826768163,0.7051956556012517,2023-01-01,2023,1,2023-01
0.3843402849834228,0.6808181987106001,2023-02-01,2023,2,2023-02
0.3779901616323465,0.6747541202740698,2023-03-01,2023,3,2023-03
0.408606764595278,0.7098185769519426,2023-04-01,2023,4,2023-04
0.4297834471123315,0.7356236685567036,2023-05-01,2023,5,2023-05
0.4380389492296308,0.7202728962913785,2023-06-01,2023,6,2023-06
0.4698191827384388,0.7069941628805375,2023-07-01,2023,7,2023-07
0.4567042034786035,0.6980775142785768,2023-08-01,2023,8,2023-08
0.4493537010675692,0.6796485163111006,2023-09-01,2023,9,2023-09
0.4160267634869418,0.7412470299127698,2023-10-01,2023,10,2023-10
0.4299614860811298,0.7243445569242328,2023-11-01,2023,11,2023-11
0.389132787826374,0.7115420583268957,2023-12-01,2023,12,2023-12
0.3784940212274582,0.7035120437588204,2024-01-01,2024,1,2024-01
0.3827775049628305,0.6494045199556167,2024-02-01,2024,2,2024-02
0.3729794379123474,0.6159753156342153,2024-03-01,2024,3,2024-03
0.3986532065676726,0.6493604976800141,2024-04-01,2024,4,2024-04
0.4140147321893748,0.7223622621913143,2024-05-01,2024,5,2024-05
0.4338634535602714,0.7468845875652934,2024-06-01,2024,6,2024-06
0.4581870483106063,0.7142316871854835,2024-07-01,2024,7,2024-07
0.4354743848965414,0.722436278131944,2024-08-01,2024,8,2024-08
0.4466755086298193,0.6935853898917016,2024-09-01,2024,9,2024-09
0.4352806877958426,0.7157444906897023,2024-10-01,2024,10,2024-10
0.4214838615270596,0.7187545201445511,2024-11-01,2024,11,2024-11
0.4114872346942106,0.7279611299922103,2024-12-01,2024,12,2024-12
0.3734872875623484,0.7299284907529239,2025-01-01,2025,1,2025-01
0.3755332498981867,0.6361690502025102,2025-02-01,2025,2,2025-02
0.4001282655632408,0.6727310536869391,2025-03-01,2025,3,2025-03
0.4199816165195988,0.695207530823746,2025-04-01,2025,4,2025-04
0.4345763595444462,0.7317966029551566,2025-05-01,2025,5,2025-05
0.4051994604301859,0.7435067271700014,2025-06-01,2025,6,2025-06
0.4536210939597279,0.7329039335427315,2025-07-01,2025,7,2025-07
0.4994227063106798,0.7012633609157806,2025-08-01,2025,8,2025-08
