Código Dane departamento;Departamento;Código Dane municipio;Municipio;Grupo cultivo;Subgrupo;Cultivo;Desagregación cultivo;Año;Periodo;Área sembrada;Área cosechada;Producción;Rendimiento;Ciclo del cultivo;Estado físico del cultivo;Código del cultivo;Nombre científico del cultivo
15;Boyacá;15236;Chivor;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;3.5;3.5;2.8;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15236;Chivor;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;3.4;3.3;2.64;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15293;Gachantivá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;10;0;0;0;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;137;124;155;1.25;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;136;128;148;1.16;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;139.32;127.51;133.89;1.05;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;150.98;129.52;107.3;0.83;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;153.6;137.45;123.32;0.9;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15299;Garagoa;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;150.35;132.14;147.2;1.11;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;58;53;32;0.6;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;63;56;56;1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;66;61;55.51;0.91;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;76;66;19.8;0.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;79;64;19.2;0.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15317;Guacamayas;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;82;62;18.6;0.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;59;53;69;1.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;59;54;64;1.19;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;57.72;55.01;74.81;1.36;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;58.07;55.63;56.19;1.01;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;59.33;56.71;56.71;1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15322;Guateque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;60.77;56.32;69.71;1.24;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;137;120;128;1.07;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;137;128;126;0.98;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;147.21;136.54;111.96;0.82;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;155.02;135.43;108.13;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;164.98;147.95;120.7;0.82;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15325;Guayatá;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;166.48;154.84;157.15;1.01;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;87;77;78;1.01;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;95;84;78;0.93;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;101.59;97.54;132.65;1.36;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;105.32;99.88;92.05;0.92;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;109.66;100.57;106.32;1.06;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15377;Labranzagrande;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;115.27;105.31;138.17;1.31;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15380;La Capilla;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;2;2;0.9;0.45;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15380;La Capilla;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;2;2;0.9;0.45;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15380;La Capilla;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;78.97;78.97;63.18;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15380;La Capilla;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;79.97;78.97;63.18;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;124;112;69.5;0.62;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;126;117;134;1.15;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;127.71;121.22;127.28;1.05;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;135.03;124.62;74.12;0.59;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
